seed,env_init,init_mode,sym_var_init,sym_var_final,sym_var_second_half_mean,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged,attractor
0,5_2_6,current,0.888889,0.222222,0.222222,8,3,6,3,4,8,7,3,4,0,no_conv
0,5_2_6,no_update_first_step,0.000000,0.222222,0.311111,8,0,6,3,0,8,7,1,4,0,no_conv
0,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
0,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
1,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
1,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
1,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
1,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
2,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
2,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
2,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
2,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
3,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
3,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
3,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
3,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
4,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
4,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
4,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
4,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
5,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
5,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,7,6,3,8,8,7,8,4,0,no_conv
5,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
5,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
6,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
6,5_2_6,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
6,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
6,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
7,5_2_6,current,0.888889,0.000000,0.000000,8,4,6,3,4,8,7,4,4,1,other_conv
7,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,8,6,3,7,8,7,8,4,0,no_conv
7,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
7,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
8,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
8,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
8,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
8,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
9,5_2_6,current,0.888889,0.222222,0.222222,8,2,6,3,1,8,7,2,4,0,no_conv
9,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
9,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
9,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
10,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
10,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,7,6,3,8,8,7,8,4,0,no_conv
10,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
10,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
11,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
11,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
11,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
11,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
12,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
12,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
12,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
12,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
13,5_2_6,current,0.888889,0.000000,0.000000,8,4,6,3,4,8,7,4,4,1,other_conv
13,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
13,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
13,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
14,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
14,5_2_6,no_update_first_step,0.000000,0.222222,0.257778,8,7,6,3,6,8,7,7,4,0,no_conv
14,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
14,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
15,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
15,5_2_6,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
15,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
15,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
16,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
