env_init,schedule,observer,n,n_conv,conv_rate,wilson_lo,wilson_hi,n_post,misID_post_mean,nll_half_mean,brier_half_mean,switch_rate_mean,acf1_mean,mis_acf1_mean,turning_rate_mean,period2_mean,spec_peak_share_mean
5_2_6,sync,hard,200,39,0.1950,0.1461,0.2554,39,0.0000,0.0000,0.0000,0.6192,0.3699,nan,0.3328,0.3191,0.3211
5_2_6,sync,smooth,200,67,0.3350,0.2732,0.4030,67,0.0000,0.8063,0.3447,0.4698,0.6967,nan,0.1734,0.1663,0.3852
5_2_6,sync,memoryless,200,44,0.2200,0.1682,0.2824,44,0.5600,1.7111,0.7429,0.5594,0.6222,-0.0146,0.2294,0.2216,0.3220
5_2_6,sync,static,200,154,0.7700,0.7069,0.8229,154,0.3428,1.5549,0.6665,0.3112,0.6704,0.3340,0.1320,0.1250,0.2812
5_2_6,sync,leaky,200,113,0.5650,0.4957,0.6318,113,0.2297,1.0459,0.5173,0.3725,0.6608,0.2678,0.1424,0.1355,0.2978
5_2_6,seq_ABC,hard,200,193,0.9650,0.9295,0.9829,193,0.0000,0.0000,0.0000,0.1868,0.6204,nan,0.1226,0.1089,0.2283
5_2_6,seq_ABC,smooth,200,68,0.3400,0.2779,0.4081,68,0.0000,0.8063,0.3447,0.4645,0.6860,nan,0.1724,0.1652,0.3602
5_2_6,seq_ABC,memoryless,200,49,0.2450,0.1906,0.3090,49,0.6105,1.7003,0.7376,0.5634,0.6440,-0.0119,0.2293,0.2214,0.3367
5_2_6,seq_ABC,static,200,136,0.6800,0.6125,0.7407,136,0.3375,1.8891,0.6907,0.3651,0.6725,0.2903,0.1566,0.1482,0.3077
5_2_6,seq_ABC,leaky,200,125,0.6250,0.5561,0.6891,125,0.2401,1.0240,0.5028,0.3765,0.6945,0.2000,0.1404,0.1320,0.3239
8_8_8,sync,hard,200,200,1.0000,0.9812,1.0000,200,0.0000,0.0000,0.0000,0.0344,0.9158,nan,0.0002,0.0002,0.0601
8_8_8,sync,smooth,200,90,0.4500,0.3826,0.5192,90,0.0000,0.8063,0.3447,0.3606,0.4566,nan,0.1299,0.1256,0.2504
8_8_8,sync,memoryless,200,50,0.2500,0.1951,0.3143,50,0.5600,1.6826,0.7298,0.4830,0.3863,-0.0280,0.1942,0.1907,0.2171
8_8_8,sync,static,200,196,0.9800,0.9497,0.9922,196,0.1679,0.5326,0.2901,0.1486,0.3759,0.4377,0.0589,0.0543,0.1396
8_8_8,sync,leaky,200,125,0.6250,0.5561,0.6891,125,0.2397,0.9614,0.4730,0.2635,0.3128,0.2865,0.1017,0.0978,0.1606
8_8_8,seq_ABC,hard,200,200,1.0000,0.9812,1.0000,200,0.0000,0.0000,0.0000,0.0277,0.8858,nan,0.0005,0.0003,0.0517
8_8_8,seq_ABC,smooth,200,87,0.4350,0.3682,0.5043,87,0.0000,0.8063,0.3447,0.3622,0.4616,nan,0.1354,0.1307,0.2604
8_8_8,seq_ABC,memoryless,200,44,0.2200,0.1682,0.2824,44,0.5218,1.6831,0.7301,0.4824,0.3678,-0.0166,0.1962,0.1922,0.2044
8_8_8,seq_ABC,static,200,198,0.9900,0.9643,0.9973,198,0.1622,0.4541,0.2568,0.1144,0.2520,0.3750,0.0436,0.0406,0.1055
8_8_8,seq_ABC,leaky,200,105,0.5250,0.4560,0.5931,105,0.2357,0.9710,0.4779,0.2589,0.2300,0.1819,0.0998,0.0967,0.1474
