env_mode,env_init,mechanism,sigma,n_seeds,n_converged,convergence_rate,conv_ci_lo,conv_ci_hi,sym_var_final_mean,sym_var_final_std,misID_rate_mean,misID_second_half_mean,misID_post_sync_mean,misID_run_mean,belief_lag_mean,kl_belief_mean,H_belief_mean,time_to_sync_mean,time_to_sync_n,real_var_final_mean,imag_var_final_mean,pct_S0,pct_S8,pct_other_conv,pct_no_conv
isolated,5_2_6,off,,20,0,0.0000,0.0000,0.0000,4.711111,0.193729,0.921000,0.842000,,39.605556,26.896548,31.810213,0.000000,,0,4.666667,2.611111,0.0000,0.0000,0.0000,1.0000
isolated,5_2_6,hard,,20,19,0.9500,0.8500,1.0000,0.011111,0.048432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.1053,19,4.666667,2.666667,0.9500,0.0000,0.0000,0.0500
isolated,5_2_6,noisy,,20,16,0.8000,0.6000,0.9500,0.044444,0.088889,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,38.2500,16,4.822222,2.744444,0.8000,0.0000,0.0000,0.2000
isolated,5_2_6,infer,0.40,20,15,0.7500,0.5500,0.9000,0.055556,0.096225,0.566000,0.488667,0.394655,5.499595,12.539724,19.381633,0.725940,33.6667,15,4.866667,2.855556,0.7500,0.0000,0.0000,0.2500
isolated,5_2_6,infer,0.70,20,18,0.9000,0.7500,1.0000,0.022222,0.066667,0.373667,0.228000,0.188491,3.903665,10.392510,13.202372,0.272359,26.1667,18,4.644444,2.500000,0.6000,0.0000,0.3000,0.1000
isolated,5_2_6,infer,1.00,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.026333,0.001333,0.002714,0.750000,1.656410,1.937240,0.092873,13.1500,20,4.666667,2.666667,0.4000,0.0000,0.6000,0.0000
isolated,8_8_8,off,,20,0,0.0000,0.0000,0.0000,4.755556,0.266667,0.866667,0.862000,,26.874884,32.021728,29.933606,0.000000,,0,4.666667,2.522222,0.0000,0.0000,0.0000,1.0000
isolated,8_8_8,hard,,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,20,4.666667,2.222222,0.0000,1.0000,0.0000,0.0000
isolated,8_8_8,noisy,,20,18,0.9000,0.7500,1.0000,0.022222,0.066667,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,37.6667,18,4.622222,2.400000,0.0000,0.9000,0.0000,0.1000
isolated,8_8_8,infer,0.40,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.367000,0.263333,0.254011,5.614168,8.515225,13.253405,0.569121,28.4500,20,4.577778,2.822222,0.0000,1.0000,0.0000,0.0000
isolated,8_8_8,infer,0.70,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.075000,0.002000,0.034404,2.386111,4.451786,3.151345,0.131626,4.8000,20,4.666667,2.611111,0.0000,1.0000,0.0000,0.0000
isolated,8_8_8,infer,1.00,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.020000,0.000000,0.007077,0.666667,0.700000,0.430982,0.018022,2.9000,20,4.666667,2.111111,0.0000,1.0000,0.0000,0.0000
