seed,env_init,schedule,mechanism,sigma,observer,converged,attractor,time_to_sync,sym_var_final,misID_snap,misID_snap_half,misID_snap_post,misID_act,misID_act_post,q_onehot_ok,final_S_A,final_S_B,final_S_C
0,5_2_6,seq_ABC,hard,,none,1,S=0,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_ABC,infer,0.40,filter,0,other_conv,,0.222222,0.513333,0.386667,,0.573333,,1,3,3,3
0,5_2_6,seq_ABC,infer,1.00,filter,1,S=0,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_ABC,infer,1.00,memoryless,1,S=0,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_ACB,hard,,none,1,S=0,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_ACB,infer,0.40,filter,1,S=0,33,0.000000,0.080000,0.013333,0.000000,0.073333,0.000000,1,0,0,0
0,5_2_6,seq_ACB,infer,1.00,filter,1,S=0,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_ACB,infer,1.00,memoryless,1,S=0,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_BAC,hard,,none,1,S=0,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_BAC,infer,0.40,filter,1,S=0,22,0.000000,0.513333,0.413333,0.440476,0.506667,0.440476,1,0,0,0
0,5_2_6,seq_BAC,infer,1.00,filter,1,S=0,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_BAC,infer,1.00,memoryless,1,S=0,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_BCA,hard,,none,1,S=0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_BCA,infer,0.40,filter,1,no_conv,42,0.000000,0.593333,0.586667,0.625000,0.613333,0.625000,1,0,1,0
0,5_2_6,seq_BCA,infer,1.00,filter,1,S=0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_BCA,infer,1.00,memoryless,1,S=0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_CAB,hard,,none,1,S=0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_CAB,infer,0.40,filter,1,S=0,31,0.000000,0.220000,0.066667,0.035088,0.206667,0.000000,1,0,0,0
0,5_2_6,seq_CAB,infer,1.00,filter,1,S=0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_CAB,infer,1.00,memoryless,1,S=0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_CBA,hard,,none,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_CBA,infer,0.40,filter,1,S=0,18,0.000000,0.480000,0.306667,0.322917,0.466667,0.322917,1,0,0,0
0,5_2_6,seq_CBA,infer,1.00,filter,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,seq_CBA,infer,1.00,memoryless,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,sync,hard,,none,1,S=0,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,sync,infer,0.40,filter,1,S=0,39,0.000000,0.666667,0.626667,0.666667,0.666667,0.666667,1,0,0,0
0,5_2_6,sync,infer,1.00,filter,1,S=0,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,5_2_6,sync,infer,1.00,memoryless,1,S=0,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
0,8_8_8,seq_ABC,hard,,none,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_ABC,infer,0.40,filter,1,S=8,18,0.000000,0.280000,0.066667,0.125000,0.293333,0.114583,1,8,8,8
0,8_8_8,seq_ABC,infer,1.00,filter,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_ABC,infer,1.00,memoryless,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_ACB,hard,,none,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_ACB,infer,0.40,filter,1,S=8,47,0.000000,0.513333,0.306667,0.111111,0.566667,0.000000,1,8,8,8
0,8_8_8,seq_ACB,infer,1.00,filter,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_ACB,infer,1.00,memoryless,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_BAC,hard,,none,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_BAC,infer,0.40,filter,1,S=8,8,0.000000,0.193333,0.000000,0.103175,0.193333,0.103175,1,8,8,8
0,8_8_8,seq_BAC,infer,1.00,filter,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_BAC,infer,1.00,memoryless,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_BCA,hard,,none,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_BCA,infer,0.40,filter,1,S=8,23,0.000000,0.126667,0.000000,0.000000,0.100000,0.000000,1,8,8,8
0,8_8_8,seq_BCA,infer,1.00,filter,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_BCA,infer,1.00,memoryless,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_CAB,hard,,none,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_CAB,infer,0.40,filter,1,S=8,29,0.000000,0.513333,0.413333,0.412698,0.520000,0.444444,1,8,8,8
0,8_8_8,seq_CAB,infer,1.00,filter,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_CAB,infer,1.00,memoryless,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_CBA,hard,,none,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
0,8_8_8,seq_CBA,infer,0.40,filter,1,S=8,21,0.000000,0.260000,0.040000,0.068966,0.260000,0.068966,1,8,8,8
