seed,env_init,schedule,observer,lambda,alignment_occupancy_half,final20_aligned,longest_aligned_run,terminal_aligned,time_to_permanent_alignment,censored_permanent,misID_act_half,NLL_act_half,Brier_act_half,observer_entropy_half,endpoint_regime,any_full_rsi,terminal_full_rsi,snap_var_final
1000,5_2_6,sync,hard,,0.00000000,0,1,0,,1,0.00000000,0.00000000,0.00000000,0.00000000,not_aligned,0,0,0.22222222
1000,5_2_6,sync,smooth,,0.41000000,0,14,0,,1,0.00000000,0.80632360,0.34466183,1.83838903,not_aligned,0,0,0.22222222
1000,5_2_6,sync,filter_l0.00,0.00,1.00000000,1,154,1,46,0,0.00000000,0.00236509,0.00014884,0.01086358,S=0,0,0,0.00000000
1000,5_2_6,sync,filter_l0.02,0.02,0.89000000,0,38,0,,1,0.07666667,0.28760661,0.12563606,0.41048512,not_aligned,0,0,0.22222222
1000,5_2_6,sync,filter_l0.05,0.05,0.85000000,0,28,0,,1,0.13000000,0.45003322,0.20018850,0.64002535,not_aligned,0,0,0.22222222
1000,5_2_6,sync,filter_l0.10,0.10,0.73000000,0,24,0,,1,0.19333333,0.66540518,0.30868347,0.90532199,not_aligned,0,0,0.22222222
1000,5_2_6,sync,filter_l0.20,0.20,0.61000000,0,17,0,,1,0.27333333,0.89865680,0.41680436,1.17020196,not_aligned,0,0,0.22222222
1000,5_2_6,sync,filter_l0.50,0.50,0.41000000,0,9,1,199,0,0.47000000,1.29795777,0.59866838,1.52284012,other_aligned,0,0,0.22222222
1000,5_2_6,sync,filter_l1.00,1.00,0.11000000,0,4,0,,1,0.60666667,1.69027764,0.72930458,1.77584026,not_aligned,0,0,0.66666667
1000,5_2_6,seq_ABC,hard,,1.00000000,1,194,1,6,0,0.00000000,0.00000000,0.00000000,0.00000000,S=0,0,0,0.00000000
1000,5_2_6,seq_ABC,smooth,,0.55000000,0,15,0,,1,0.00000000,0.80632360,0.34466183,1.83838903,not_aligned,0,0,0.22222222
1000,5_2_6,seq_ABC,filter_l0.00,0.00,0.79000000,1,79,1,121,0,0.55666667,2.76555147,0.97974556,0.25754676,S=0,0,0,0.00000000
1000,5_2_6,seq_ABC,filter_l0.02,0.02,0.89000000,0,38,0,,1,0.07666667,0.29175336,0.12615737,0.40668845,not_aligned,0,0,0.22222222
1000,5_2_6,seq_ABC,filter_l0.05,0.05,0.86000000,0,28,0,,1,0.12666667,0.45450738,0.20121613,0.63916791,not_aligned,0,0,0.22222222
1000,5_2_6,seq_ABC,filter_l0.10,0.10,0.73000000,0,24,1,199,0,0.20000000,0.67080957,0.31038945,0.90282400,S=0,0,0,0.22222222
1000,5_2_6,seq_ABC,filter_l0.20,0.20,0.65000000,0,15,0,,1,0.28000000,0.90762226,0.42268076,1.18461904,not_aligned,0,0,0.22222222
1000,5_2_6,seq_ABC,filter_l0.50,0.50,0.46000000,0,14,1,194,0,0.52000000,1.35409310,0.61076853,1.54119982,S=8,0,0,0.00000000
1000,5_2_6,seq_ABC,filter_l1.00,1.00,0.20000000,0,5,1,199,0,0.62000000,1.75643284,0.74638889,1.77593552,S=8,0,0,0.22222222
1001,5_2_6,sync,hard,,0.00000000,0,1,0,,1,0.00000000,0.00000000,0.00000000,0.00000000,not_aligned,0,0,0.22222222
1001,5_2_6,sync,smooth,,0.32000000,0,10,0,,1,0.00000000,0.80632360,0.34466183,1.83838903,not_aligned,0,0,0.66666667
1001,5_2_6,sync,filter_l0.00,0.00,1.00000000,1,134,1,66,0,0.08666667,0.17692361,0.12050777,0.11167250,S=0,0,0,0.00000000
1001,5_2_6,sync,filter_l0.02,0.02,0.88000000,0,25,1,190,0,0.07333333,0.28789975,0.12797481,0.48031561,S=0,0,0,0.00000000
1001,5_2_6,sync,filter_l0.05,0.05,0.78000000,0,25,0,,1,0.14000000,0.52853314,0.26210653,0.78253071,not_aligned,0,0,0.00000000
1001,5_2_6,sync,filter_l0.10,0.10,0.72000000,0,22,1,194,0,0.20666667,0.71079781,0.35665516,1.01316579,S=0,0,0,0.00000000
1001,5_2_6,sync,filter_l0.20,0.20,0.52000000,0,16,0,,1,0.37333333,1.00262229,0.49943881,1.26047745,not_aligned,0,0,0.00000000
1001,5_2_6,sync,filter_l0.50,0.50,0.27000000,0,11,0,,1,0.52000000,1.38862448,0.64789733,1.59258771,not_aligned,0,0,0.22222222
1001,5_2_6,sync,filter_l1.00,1.00,0.15000000,0,3,0,,1,0.68333333,1.81499935,0.78782927,1.82891143,not_aligned,0,0,0.00000000
1001,5_2_6,seq_ABC,hard,,1.00000000,1,194,1,6,0,0.00000000,0.00000000,0.00000000,0.00000000,S=0,0,0,0.00000000
1001,5_2_6,seq_ABC,smooth,,0.42000000,0,10,1,196,0,0.00000000,0.80632360,0.34466183,1.83838903,S=8,0,0,0.00000000
1001,5_2_6,seq_ABC,filter_l0.00,0.00,1.00000000,1,110,1,90,0,0.05000000,0.09679710,0.06569280,0.09446226,S=0,0,0,0.00000000
1001,5_2_6,seq_ABC,filter_l0.02,0.02,0.87000000,0,18,1,190,0,0.07333333,0.29260883,0.13489255,0.48523576,S=0,0,0,0.00000000
1001,5_2_6,seq_ABC,filter_l0.05,0.05,0.79000000,0,25,0,,1,0.15333333,0.51483591,0.25734209,0.78590188,not_aligned,0,0,0.00000000
1001,5_2_6,seq_ABC,filter_l0.10,0.10,0.75000000,0,22,1,192,0,0.22666667,0.72761987,0.37169405,1.01999091,S=0,0,0,0.00000000
1001,5_2_6,seq_ABC,filter_l0.20,0.20,0.56000000,0,16,0,,1,0.42000000,1.06243434,0.53790902,1.27741934,not_aligned,0,0,0.00000000
1001,5_2_6,seq_ABC,filter_l0.50,0.50,0.47000000,0,6,1,199,0,0.47333333,1.25808118,0.58715826,1.50467589,S=8,0,0,0.22222222
1001,5_2_6,seq_ABC,filter_l1.00,1.00,0.12000000,0,4,1,198,0,0.65000000,1.75652847,0.76440870,1.81298490,S=8,0,0,0.00000000
1002,5_2_6,sync,hard,,1.00000000,1,186,1,14,0,0.00000000,0.00000000,0.00000000,0.00000000,S=0,0,0,0.00000000
1002,5_2_6,sync,smooth,,0.39000000,0,13,0,,1,0.00000000,0.80632360,0.34466183,1.83838903,not_aligned,0,0,0.22222222
1002,5_2_6,sync,filter_l0.00,0.00,1.00000000,1,168,1,32,0,0.00000000,0.01960780,0.00842281,0.04265034,S=0,0,0,0.00000000
1002,5_2_6,sync,filter_l0.02,0.02,0.85000000,0,36,1,190,0,0.09333333,0.38374569,0.16503531,0.48706975,S=0,0,0,0.00000000
1002,5_2_6,sync,filter_l0.05,0.05,0.77000000,0,30,1,190,0,0.16666667,0.58650277,0.26981059,0.74149753,S=0,0,0,0.00000000
1002,5_2_6,sync,filter_l0.10,0.10,0.68000000,0,16,1,184,0,0.27666667,0.83288475,0.39569009,1.04095353,S=0,0,0,0.00000000
1002,5_2_6,sync,filter_l0.20,0.20,0.58000000,0,11,1,199,0,0.37666667,1.05236881,0.50115466,1.26686670,S=0,0,0,0.22222222
1002,5_2_6,sync,filter_l0.50,0.50,0.34000000,0,7,1,199,0,0.55333333,1.45651419,0.66149666,1.58672314,S=0,0,0,0.22222222
1002,5_2_6,sync,filter_l1.00,1.00,0.15000000,0,5,0,,1,0.69000000,1.85099155,0.78744850,1.81015326,not_aligned,0,0,0.22222222
1002,5_2_6,seq_ABC,hard,,1.00000000,1,181,1,19,0,0.00000000,0.00000000,0.00000000,0.00000000,S=0,0,0,0.00000000
1002,5_2_6,seq_ABC,smooth,,0.52000000,0,17,0,,1,0.00000000,0.80632360,0.34466183,1.83838903,not_aligned,0,0,0.22222222
1002,5_2_6,seq_ABC,filter_l0.00,0.00,1.00000000,1,180,1,20,0,0.00000000,0.00781858,0.00180885,0.02447699,S=0,0,0,0.00000000
1002,5_2_6,seq_ABC,filter_l0.02,0.02,0.85000000,0,36,1,181,0,0.09333333,0.38600799,0.16476033,0.48335295,S=0,0,0,0.00000000
1002,5_2_6,seq_ABC,filter_l0.05,0.05,0.72000000,0,15,1,199,0,0.18666667,0.62433806,0.29765320,0.77163409,S=0,0,0,0.22222222
1002,5_2_6,seq_ABC,filter_l0.10,0.10,0.63000000,0,12,1,190,0,0.27000000,0.86603208,0.40755747,1.03145058,S=0,0,0,0.00000000
1002,5_2_6,seq_ABC,filter_l0.20,0.20,0.59000000,0,12,1,199,0,0.36000000,1.04493314,0.49691528,1.26779610,S=0,0,0,0.22222222
1002,5_2_6,seq_ABC,filter_l0.50,0.50,0.41000000,0,8,1,199,0,0.53666667,1.44073291,0.65273020,1.58909778,S=0,0,0,0.22222222
1002,5_2_6,seq_ABC,filter_l1.00,1.00,0.15000000,0,5,1,199,0,0.69333333,1.86337730,0.79742394,1.81323935,other_aligned,0,0,0.22222222
1003,5_2_6,sync,hard,,0.00000000,0,1,0,,1,0.00000000,0.00000000,0.00000000,0.00000000,not_aligned,0,0,0.22222222
1003,5_2_6,sync,smooth,,0.33000000,0,15,0,,1,0.00000000,0.80632360,0.34466183,1.83838903,not_aligned,1,0,0.00000000
1003,5_2_6,sync,filter_l0.00,0.00,1.00000000,1,131,1,69,0,0.00000000,0.00002435,0.00000001,0.00023824,S=0,1,0,0.00000000
1003,5_2_6,sync,filter_l0.02,0.02,0.90000000,0,23,1,196,0,0.03333333,0.22820291,0.08004566,0.35869640,S=0,1,0,0.00000000
1003,5_2_6,sync,filter_l0.05,0.05,0.87000000,0,20,1,195,0,0.06000000,0.38373437,0.15474788,0.62971951,S=0,1,0,0.00000000
1003,5_2_6,sync,filter_l0.10,0.10,0.73000000,0,13,1,197,0,0.15666667,0.63406204,0.28867472,0.90047593,S=0,1,0,0.00000000
1003,5_2_6,sync,filter_l0.20,0.20,0.53000000,0,9,1,199,0,0.33000000,0.95450963,0.45486264,1.19469147,S=0,1,0,0.22222222
1003,5_2_6,sync,filter_l0.50,0.50,0.31000000,0,9,0,,1,0.49666667,1.34842361,0.62425850,1.53146293,not_aligned,1,0,0.66666667
1003,5_2_6,sync,filter_l1.00,1.00,0.18000000,0,3,0,,1,0.62666667,1.69584545,0.73516028,1.76361816,not_aligned,1,0,0.00000000
1003,5_2_6,seq_ABC,hard,,1.00000000,1,189,1,11,0,0.00000000,0.00000000,0.00000000,0.00000000,S=0,0,0,0.00000000
1003,5_2_6,seq_ABC,smooth,,0.20000000,0,12,0,,1,0.00000000,0.80632360,0.34466183,1.83838903,not_aligned,1,0,0.66666667
1003,5_2_6,seq_ABC,filter_l0.00,0.00,1.00000000,1,131,1,69,0,0.00000000,0.00004727,0.00000005,0.00042751,S=0,1,0,0.00000000
1003,5_2_6,seq_ABC,filter_l0.02,0.02,0.91000000,0,23,1,196,0,0.03000000,0.21873595,0.07451910,0.35700930,S=0,1,0,0.00000000
1003,5_2_6,seq_ABC,filter_l0.05,0.05,0.92000000,1,29,1,171,0,0.03666667,0.29522276,0.11244450,0.62082173,S=0,1,0,0.00000000
1003,5_2_6,seq_ABC,filter_l0.10,0.10,0.70000000,0,15,1,197,0,0.16333333,0.63926486,0.29530015,0.91847555,S=0,1,0,0.00000000
1003,5_2_6,seq_ABC,filter_l0.20,0.20,0.48000000,0,11,1,199,0,0.33333333,0.97073602,0.46620157,1.19900464,S=0,1,0,0.22222222
1003,5_2_6,seq_ABC,filter_l0.50,0.50,0.27000000,0,5,0,,1,0.56333333,1.42154399,0.65992453,1.54346461,not_aligned,1,0,0.66666667
1003,5_2_6,seq_ABC,filter_l1.00,1.00,0.16000000,0,4,0,,1,0.67333333,1.79266262,0.78134905,1.80693656,not_aligned,1,0,0.22222222
1004,5_2_6,sync,hard,,0.00000000,0,1,0,,1,0.00000000,0.00000000,0.00000000,0.00000000,not_aligned,0,0,0.22222222
1004,5_2_6,sync,smooth,,0.17000000,0,5,0,,1,0.00000000,0.80632360,0.34466183,1.83838903,not_aligned,0,0,2.00000000
1004,5_2_6,sync,filter_l0.00,0.00,1.00000000,1,143,1,57,0,0.03666667,0.10455776,0.06185505,0.06492374,S=0,0,0,0.00000000
1004,5_2_6,sync,filter_l0.02,0.02,0.89000000,0,18,1,192,0,0.04000000,0.23774484,0.09675802,0.38968477,S=0,0,0,0.00000000
1004,5_2_6,sync,filter_l0.05,0.05,0.82000000,0,20,1,192,0,0.08666667,0.38899475,0.17880350,0.68952177,S=0,0,0,0.00000000
1004,5_2_6,sync,filter_l0.10,0.10,0.68000000,0,14,0,,1,0.23000000,0.68987950,0.35471749,0.95648928,not_aligned,0,0,0.00000000
1004,5_2_6,sync,filter_l0.20,0.20,0.55000000,0,10,0,,1,0.30000000,0.93560330,0.46312862,1.21989042,not_aligned,0,0,0.00000000
1004,5_2_6,sync,filter_l0.50,0.50,0.36000000,0,6,0,,1,0.50666667,1.32458264,0.61951994,1.54255274,not_aligned,0,0,0.22222222
1004,5_2_6,sync,filter_l1.00,1.00,0.17000000,0,6,0,,1,0.68000000,1.75320388,0.76262433,1.79083583,not_aligned,0,0,0.00000000
1004,5_2_6,seq_ABC,hard,,1.00000000,1,195,1,5,0,0.00000000,0.00000000,0.00000000,0.00000000,S=0,0,0,0.00000000
1004,5_2_6,seq_ABC,smooth,,0.09000000,0,5,0,,1,0.00000000,0.80632360,0.34466183,1.83838903,not_aligned,0,0,0.22222222
1004,5_2_6,seq_ABC,filter_l0.00,0.00,1.00000000,1,145,1,55,0,0.08333333,0.24534360,0.13169584,0.10013524,S=0,0,0,0.00000000
1004,5_2_6,seq_ABC,filter_l0.02,0.02,0.89000000,0,18,1,192,0,0.04333333,0.23471465,0.09756088,0.39472439,S=0,0,0,0.00000000
1004,5_2_6,seq_ABC,filter_l0.05,0.05,0.83000000,0,20,1,192,0,0.08000000,0.38017890,0.17461190,0.68326098,S=0,0,0,0.00000000
1004,5_2_6,seq_ABC,filter_l0.10,0.10,0.69000000,0,19,0,,1,0.17666667,0.60972035,0.29783033,0.95747715,not_aligned,0,0,0.00000000
1004,5_2_6,seq_ABC,filter_l0.20,0.20,0.55000000,0,14,0,,1,0.31666667,0.93616028,0.46782601,1.22765844,not_aligned,0,0,0.00000000
1004,5_2_6,seq_ABC,filter_l0.50,0.50,0.36000000,0,7,0,,1,0.49000000,1.31928152,0.61855505,1.54841768,not_aligned,0,0,0.22222222
1004,5_2_6,seq_ABC,filter_l1.00,1.00,0.15000000,0,6,0,,1,0.62333333,1.72403727,0.74441507,1.77864309,not_aligned,0,0,0.22222222
1005,5_2_6,sync,hard,,1.00000000,1,187,1,13,0,0.00000000,0.00000000,0.00000000,0.00000000,S=0,0,0,0.00000000
1005,5_2_6,sync,smooth,,0.04000000,0,2,0,,1,0.00000000,0.80632360,0.34466183,1.83838903,not_aligned,0,0,0.22222222
1005,5_2_6,sync,filter_l0.00,0.00,1.00000000,1,156,1,44,0,0.00000000,0.00222021,0.00015022,0.01046284,S=0,0,0,0.00000000
1005,5_2_6,sync,filter_l0.02,0.02,0.90000000,0,32,1,196,0,0.04000000,0.27944848,0.10946193,0.47784370,S=0,0,0,0.00000000
1005,5_2_6,sync,filter_l0.05,0.05,0.75000000,0,19,0,,1,0.13000000,0.57539237,0.27261555,0.79299475,not_aligned,0,0,0.88888889
1005,5_2_6,sync,filter_l0.10,0.10,0.72000000,0,18,1,198,0,0.26000000,0.78596494,0.39649647,1.04435497,S=0,0,0,0.00000000
1005,5_2_6,sync,filter_l0.20,0.20,0.60000000,0,12,0,,1,0.39333333,1.03681014,0.51650518,1.28243451,not_aligned,0,0,0.22222222
1005,5_2_6,sync,filter_l0.50,0.50,0.42000000,0,10,0,,1,0.53000000,1.40110715,0.64461840,1.56169953,not_aligned,0,0,0.22222222
1005,5_2_6,sync,filter_l1.00,1.00,0.21000000,0,4,1,199,0,0.64666667,1.77534735,0.75610855,1.78727449,S=0,0,0,0.22222222
1005,5_2_6,seq_ABC,hard,,1.00000000,1,184,1,16,0,0.00000000,0.00000000,0.00000000,0.00000000,S=0,0,0,0.00000000
1005,5_2_6,seq_ABC,smooth,,0.33000000,0,8,1,199,0,0.00000000,0.80632360,0.34466183,1.83838903,S=0,0,0,0.22222222
1005,5_2_6,seq_ABC,filter_l0.00,0.00,1.00000000,1,156,1,44,0,0.00000000,0.00099318,0.00002159,0.00596236,S=0,0,0,0.00000000
1005,5_2_6,seq_ABC,filter_l0.02,0.02,0.90000000,0,32,1,196,0,0.04000000,0.27193439,0.10585784,0.47495282,S=0,0,0,0.00000000
1005,5_2_6,seq_ABC,filter_l0.05,0.05,0.78000000,0,22,1,197,0,0.11333333,0.53704094,0.25115700,0.80039001,S=0,0,0,0.00000000
1005,5_2_6,seq_ABC,filter_l0.10,0.10,0.73000000,0,19,1,198,0,0.25000000,0.77485441,0.38797181,1.04088747,S=0,0,0,0.00000000
1005,5_2_6,seq_ABC,filter_l0.20,0.20,0.62000000,0,12,1,199,0,0.38333333,1.03721043,0.51065616,1.28655223,S=0,0,0,0.22222222
1005,5_2_6,seq_ABC,filter_l0.50,0.50,0.39000000,0,5,1,198,0,0.50666667,1.40445318,0.64408173,1.56056294,S=0,0,0,0.00000000
1005,5_2_6,seq_ABC,filter_l1.00,1.00,0.16000000,0,7,0,,1,0.65333333,1.77505960,0.75736112,1.78374949,not_aligned,0,0,2.00000000
1006,5_2_6,sync,hard,,0.00000000,0,1,0,,1,0.00000000,0.00000000,0.00000000,0.00000000,not_aligned,0,0,0.22222222
1006,5_2_6,sync,smooth,,0.33000000,0,13,1,195,0,0.00000000,0.80632360,0.34466183,1.83838903,S=0,0,0,0.00000000
1006,5_2_6,sync,filter_l0.00,0.00,1.00000000,1,125,1,75,0,0.00000000,0.00654988,0.00118588,0.02336576,S=0,0,0,0.00000000
1006,5_2_6,sync,filter_l0.02,0.02,0.90000000,0,26,1,194,0,0.03333333,0.24447680,0.09857432,0.43413491,S=0,0,0,0.00000000
1006,5_2_6,sync,filter_l0.05,0.05,0.78000000,0,25,1,195,0,0.14000000,0.47579188,0.24241012,0.73071956,S=0,0,0,0.00000000
1006,5_2_6,sync,filter_l0.10,0.10,0.67000000,0,16,1,198,0,0.23666667,0.72000687,0.36569543,0.97032739,S=0,0,0,0.00000000
1006,5_2_6,sync,filter_l0.20,0.20,0.51000000,0,11,1,199,0,0.48333333,1.08476133,0.56412050,1.21907446,S=0,0,0,0.22222222
1006,5_2_6,sync,filter_l0.50,0.50,0.40000000,0,7,1,198,0,0.50666667,1.29703760,0.61405929,1.50280378,S=0,0,0,0.00000000
1006,5_2_6,sync,filter_l1.00,1.00,0.21000000,0,5,0,,1,0.60333333,1.65205000,0.72449285,1.77648113,not_aligned,0,0,0.22222222
1006,5_2_6,seq_ABC,hard,,1.00000000,1,195,1,5,0,0.00000000,0.00000000,0.00000000,0.00000000,S=0,0,0,0.00000000
1006,5_2_6,seq_ABC,smooth,,0.51000000,0,16,1,199,0,0.00000000,0.80632360,0.34466183,1.83838903,S=0,0,0,0.22222222
1006,5_2_6,seq_ABC,filter_l0.00,0.00,1.00000000,1,125,1,75,0,0.00000000,0.00654153,0.00118587,0.02328103,S=0,0,0,0.00000000
1006,5_2_6,seq_ABC,filter_l0.02,0.02,0.89000000,0,26,1,194,0,0.03666667,0.24093824,0.09755743,0.43462389,S=0,0,0,0.00000000
1006,5_2_6,seq_ABC,filter_l0.05,0.05,0.80000000,0,25,1,195,0,0.13333333,0.44510619,0.22509505,0.73679162,S=0,0,0,0.00000000
1006,5_2_6,seq_ABC,filter_l0.10,0.10,0.63000000,0,27,1,198,0,0.28666667,0.75713223,0.39735830,0.99021297,S=0,0,0,0.00000000
1006,5_2_6,seq_ABC,filter_l0.20,0.20,0.55000000,0,13,1,196,0,0.42000000,0.98594185,0.50199777,1.20889889,S=0,0,0,0.00000000
1006,5_2_6,seq_ABC,filter_l0.50,0.50,0.40000000,0,10,1,196,0,0.52000000,1.31958443,0.62413120,1.52172612,S=0,0,0,0.00000000
1006,5_2_6,seq_ABC,filter_l1.00,1.00,0.18000000,0,6,0,,1,0.62666667,1.65401806,0.72808495,1.77010251,not_aligned,0,0,0.22222222
1007,5_2_6,sync,hard,,0.00000000,0,1,0,,1,0.00000000,0.00000000,0.00000000,0.00000000,not_aligned,0,0,0.22222222
1007,5_2_6,sync,smooth,,0.41000000,0,15,1,197,0,0.00000000,0.80632360,0.34466183,1.83838903,S=0,0,0,0.00000000
1007,5_2_6,sync,filter_l0.00,0.00,0.45000000,0,10,1,190,0,0.34333333,3.87658646,0.62236414,0.08411597,other_aligned,0,0,0.00000000
1007,5_2_6,sync,filter_l0.02,0.02,0.86000000,0,15,1,199,0,0.17333333,0.51095625,0.26231983,0.63433755,S=8,0,0,0.22222222
1007,5_2_6,sync,filter_l0.05,0.05,0.89000000,0,42,1,194,0,0.05000000,0.31109465,0.12710182,0.59681601,S=0,0,0,0.00000000
1007,5_2_6,sync,filter_l0.10,0.10,0.72000000,0,19,1,199,0,0.25000000,0.72903382,0.36386647,1.00078222,S=8,0,0,0.22222222
1007,5_2_6,sync,filter_l0.20,0.20,0.72000000,0,11,1,195,0,0.24000000,0.82130848,0.40007295,1.13680636,S=0,0,0,0.00000000
1007,5_2_6,sync,filter_l0.50,0.50,0.41000000,0,6,1,199,0,0.46333333,1.27270309,0.59666423,1.50335890,S=0,0,0,0.22222222
1007,5_2_6,sync,filter_l1.00,1.00,0.23000000,0,5,1,199,0,0.63666667,1.69554329,0.73659499,1.76786628,S=0,0,0,0.22222222
1007,5_2_6,seq_ABC,hard,,1.00000000,1,188,1,12,0,0.00000000,0.00000000,0.00000000,0.00000000,S=0,0,0,0.00000000
1007,5_2_6,seq_ABC,smooth,,0.25000000,0,10,1,194,0,0.00000000,0.80632360,0.34466183,1.83838903,S=0,0,0,0.00000000
1007,5_2_6,seq_ABC,filter_l0.00,0.00,0.12000000,0,4,0,,1,0.47000000,3.97156057,0.88143095,0.14408249,not_aligned,0,0,0.22222222
1007,5_2_6,seq_ABC,filter_l0.02,0.02,0.88000000,0,16,1,198,0,0.08666667,0.36419018,0.17213653,0.55083654,S=8,0,0,0.00000000
1007,5_2_6,seq_ABC,filter_l0.05,0.05,0.79000000,0,17,1,199,0,0.16333333,0.54956915,0.26879693,0.78429898,S=8,0,0,0.22222222
1007,5_2_6,seq_ABC,filter_l0.10,0.10,0.79000000,0,23,1,194,0,0.14000000,0.56995106,0.27924617,0.86959539,S=0,0,0,0.00000000
1007,5_2_6,seq_ABC,filter_l0.20,0.20,0.68000000,0,9,1,195,0,0.27333333,0.86566059,0.43205624,1.13891287,S=0,0,0,0.00000000
1007,5_2_6,seq_ABC,filter_l0.50,0.50,0.44000000,0,7,1,198,0,0.48666667,1.31901269,0.62092019,1.50674092,S=0,0,0,0.00000000
1007,5_2_6,seq_ABC,filter_l1.00,1.00,0.22000000,0,6,0,,1,0.62666667,1.67259621,0.72561158,1.75623356,not_aligned,0,0,0.22222222
1008,5_2_6,sync,hard,,0.00000000,0,1,0,,1,0.00000000,0.00000000,0.00000000,0.00000000,not_aligned,0,0,0.22222222
1008,5_2_6,sync,smooth,,0.55000000,0,9,0,,1,0.00000000,0.80632360,0.34466183,1.83838903,not_aligned,0,0,0.00000000
1008,5_2_6,sync,filter_l0.00,0.00,1.00000000,1,138,1,62,0,0.01666667,0.06792846,0.03423091,0.12626760,S=0,0,0,0.00000000
1008,5_2_6,sync,filter_l0.02,0.02,0.88000000,0,25,1,197,0,0.06333333,0.36128173,0.15531459,0.55606482,S=0,0,0,0.00000000
1008,5_2_6,sync,filter_l0.05,0.05,0.85000000,0,25,1,195,0,0.19666667,0.59688853,0.30250127,0.84484111,S=0,0,0,0.00000000
1008,5_2_6,sync,filter_l0.10,0.10,0.61000000,0,10,0,,1,0.41000000,0.97928633,0.51218924,1.08212007,not_aligned,0,0,0.22222222
1008,5_2_6,sync,filter_l0.20,0.20,0.56000000,0,7,1,197,0,0.48000000,1.16612559,0.58520959,1.30791541,S=0,0,0,0.00000000
1008,5_2_6,sync,filter_l0.50,0.50,0.26000000,0,6,1,198,0,0.59333333,1.52377001,0.69087168,1.64208655,S=0,0,0,0.00000000
1008,5_2_6,sync,filter_l1.00,1.00,0.18000000,0,3,0,,1,0.71666667,1.83381270,0.78281613,1.79511102,not_aligned,0,0,2.88888889
1008,5_2_6,seq_ABC,hard,,1.00000000,1,188,1,12,0,0.00000000,0.00000000,0.00000000,0.00000000,S=0,0,0,0.00000000
1008,5_2_6,seq_ABC,smooth,,0.60000000,0,12,0,,1,0.00000000,0.80632360,0.34466183,1.83838903,not_aligned,0,0,0.22222222
1008,5_2_6,seq_ABC,filter_l0.00,0.00,1.00000000,1,138,1,62,0,0.00000000,0.00972383,0.00137502,0.03659890,S=0,0,0,0.00000000
1008,5_2_6,seq_ABC,filter_l0.02,0.02,0.87000000,0,19,1,197,0,0.06666667,0.37283208,0.16311047,0.56584014,S=0,0,0,0.00000000
1008,5_2_6,seq_ABC,filter_l0.05,0.05,0.86000000,0,17,1,197,0,0.19000000,0.59375263,0.30216513,0.85456332,S=0,0,0,0.00000000
1008,5_2_6,seq_ABC,filter_l0.10,0.10,0.62000000,0,9,0,,1,0.43000000,1.00551949,0.53138318,1.09525317,not_aligned,0,0,0.22222222
1008,5_2_6,seq_ABC,filter_l0.20,0.20,0.55000000,0,8,1,197,0,0.45666667,1.17374529,0.58172000,1.33314196,S=0,0,0,0.00000000
1008,5_2_6,seq_ABC,filter_l0.50,0.50,0.22000000,0,7,1,198,0,0.60333333,1.52784146,0.69960773,1.65085227,S=0,0,0,0.00000000
1008,5_2_6,seq_ABC,filter_l1.00,1.00,0.15000000,0,3,0,,1,0.70000000,1.81997643,0.77875186,1.80689124,not_aligned,0,0,2.88888889
