env_init,schedule,observer,n,occupancy_half_mean,occupancy_half_std,final20_rate,final20_wilson_lo,final20_wilson_hi,terminal_rate,longest_run_mean,misID_act_half_mean,NLL_act_half_mean,Brier_act_half_mean,entropy_half_mean,any_full_rsi_rate
5_2_6,seq_ABC,filter_l0.00,200,0.85040000,0.28528720,0.83000000,0.77184116,0.87572092,0.91000000,110.3750,0.13951667,1.11254191,0.24608611,0.06483550,0.01000000
5_2_6,seq_ABC,filter_l0.02,200,0.86670000,0.07701798,0.09500000,0.06166310,0.14360161,0.86500000,29.1000,0.09061667,0.34025238,0.15640849,0.44549969,0.01000000
5_2_6,seq_ABC,filter_l0.05,200,0.80370000,0.06968205,0.03000000,0.01382031,0.06389429,0.78000000,22.1900,0.15261667,0.51400341,0.24922116,0.70169219,0.01000000
5_2_6,seq_ABC,filter_l0.10,200,0.71700000,0.08062569,0.01500000,0.00511424,0.04316573,0.69500000,18.2200,0.23908333,0.72121385,0.35764187,0.94584180,0.01000000
5_2_6,seq_ABC,filter_l0.20,200,0.59580000,0.08396194,0.00500000,0.00088317,0.02777370,0.59000000,12.6850,0.35233333,0.97891246,0.48023082,1.20605357,0.01000000
5_2_6,seq_ABC,filter_l0.50,200,0.39690000,0.08849035,0.00000000,0.00000000,0.01884533,0.47000000,8.0700,0.50588333,1.34055306,0.62416048,1.53520780,0.01000000
5_2_6,seq_ABC,filter_l1.00,200,0.22250000,0.06990122,0.00000000,0.00000000,0.01884533,0.29000000,4.8450,0.63991667,1.70150150,0.73747543,1.77559105,0.01000000
5_2_6,seq_ABC,hard,200,0.96500000,0.18424094,0.96500000,0.92952939,0.98294446,0.96500000,183.9350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5_2_6,seq_ABC,smooth,200,0.40455000,0.15543357,0.00000000,0.00000000,0.01884533,0.43000000,12.3300,0.00000000,0.80632360,0.34466183,1.83838903,0.02500000
5_2_6,sync,filter_l0.00,200,0.90835000,0.22306404,0.89500000,0.84481968,0.93029251,0.93500000,123.1150,0.10071667,0.73008878,0.17660045,0.06035730,0.00500000
5_2_6,sync,filter_l0.02,200,0.86685000,0.06827065,0.10000000,0.06567045,0.14940581,0.87500000,29.1250,0.08923333,0.33816434,0.15487326,0.44556125,0.00500000
5_2_6,sync,filter_l0.05,200,0.80285000,0.06814393,0.03500000,0.01705554,0.07047061,0.79500000,22.5550,0.14905000,0.50941579,0.24634044,0.69899630,0.00500000
5_2_6,sync,filter_l0.10,200,0.70865000,0.08592785,0.01500000,0.00511424,0.04316573,0.71500000,17.8150,0.24385000,0.73029079,0.36225930,0.94594257,0.00500000
5_2_6,sync,filter_l0.20,200,0.58725000,0.09116189,0.00500000,0.00088317,0.02777370,0.61500000,12.6500,0.35175000,0.97924181,0.47999520,1.20579125,0.00500000
5_2_6,sync,filter_l0.50,200,0.38725000,0.08441306,0.00000000,0.00000000,0.01884533,0.40500000,7.9650,0.50390000,1.33901883,0.62306768,1.53603969,0.00500000
5_2_6,sync,filter_l1.00,200,0.21645000,0.06896870,0.00000000,0.00000000,0.01884533,0.26000000,4.8900,0.64178333,1.70131113,0.73747929,1.77506404,0.00500000
5_2_6,sync,hard,200,0.20110000,0.40075405,0.20500000,0.15486176,0.26625698,0.20500000,37.6200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5_2_6,sync,smooth,200,0.39245000,0.15418939,0.00500000,0.00088317,0.02777370,0.34500000,12.0600,0.00000000,0.80632360,0.34466183,1.83838903,0.02500000
8_8_8,seq_ABC,filter_l0.00,200,0.99940000,0.00294676,1.00000000,0.98115467,1.00000000,1.00000000,165.8750,0.00426667,0.01353676,0.00677594,0.01291649,0.49000000
8_8_8,seq_ABC,filter_l0.20,200,0.61025000,0.08420147,0.00500000,0.00088317,0.02777370,0.61000000,13.3950,0.34016667,0.95368161,0.46949203,1.19502257,0.49500000
8_8_8,seq_ABC,filter_l1.00,200,0.24545000,0.07025293,0.00000000,0.00000000,0.01884533,0.24000000,5.1600,0.63291667,1.68492521,0.73091856,1.76958586,0.51500000
8_8_8,seq_ABC,hard,200,1.00000000,0.00000000,1.00000000,0.98115467,1.00000000,1.00000000,198.9850,0.00000000,0.00000000,0.00000000,0.00000000,0.10500000
8_8_8,sync,filter_l0.00,200,0.99905000,0.00465897,1.00000000,0.98115467,1.00000000,1.00000000,160.6800,0.00898333,0.04294146,0.01555395,0.01656458,0.17000000
8_8_8,sync,filter_l0.20,200,0.60080000,0.09086607,0.00000000,0.00000000,0.01884533,0.62000000,13.3950,0.34115000,0.95482792,0.46999795,1.19606902,0.17000000
8_8_8,sync,filter_l1.00,200,0.22485000,0.07011819,0.00000000,0.00000000,0.01884533,0.23500000,4.7850,0.63591667,1.69138024,0.73364087,1.77229991,0.18500000
8_8_8,sync,hard,200,1.00000000,0.00000000,1.00000000,0.98115467,1.00000000,1.00000000,198.9950,0.00000000,0.00000000,0.00000000,0.00000000,0.10500000
