seed,env_mode,env_init,mechanism,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_init,collective_var_final,collective_var_second_half_mean,pairwise_dist_init,pairwise_dist_final,pairwise_dist_second_half_mean,real_var_final,imag_var_final,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged,attractor
0,shared,5_2_6,off,0.000000,0.222222,0.346667,0.000000,0.370370,0.328889,0.000000,1.745356,1.545668,0.888889,0.000000,8,3,8,6,2,8,6,3,8,0,no_conv
0,shared,5_2_6,hard,0.666667,0.000000,0.000000,0.222222,0.296296,0.130370,1.333333,1.550094,0.772023,0.666667,0.222222,8,0,7,7,0,7,6,0,6,1,S=0
0,shared,5_2_6,soft,0.000000,0.000000,0.008889,0.000000,0.074074,0.154074,0.000000,0.666667,0.924651,0.222222,0.000000,8,0,8,7,0,8,7,0,8,1,S=0
0,shared,5_2_6,delayed,0.666667,0.000000,0.000000,0.222222,0.222222,0.148148,1.333333,1.333333,0.879549,0.666667,0.000000,7,0,8,5,0,8,6,0,8,1,S=0
0,shared,5_2_6,noisy,0.222222,0.000000,0.026667,0.074074,0.148148,0.228148,0.666667,0.942809,1.280895,0.222222,0.222222,8,0,8,8,0,8,7,0,7,1,S=0
0,shared,8_8_8,off,0.000000,0.222222,0.231111,0.000000,0.074074,0.245926,0.000000,0.666667,1.273733,0.000000,0.000000,6,5,8,6,4,8,6,5,8,0,no_conv
0,shared,8_8_8,hard,0.222222,0.000000,0.000000,0.074074,0.000000,0.154074,0.666667,0.000000,0.943928,0.000000,0.000000,8,8,7,8,8,7,8,8,7,1,S=8
0,shared,8_8_8,soft,0.000000,0.000000,0.000000,0.000000,0.148148,0.168889,0.000000,0.942809,0.960409,0.222222,0.222222,7,8,6,7,8,6,8,8,7,1,S=8
0,shared,8_8_8,delayed,0.666667,0.000000,0.000000,0.222222,0.074074,0.162963,1.333333,0.666667,0.974485,0.000000,0.222222,8,8,8,8,8,8,8,8,7,1,S=8
0,shared,8_8_8,noisy,0.222222,0.000000,0.008889,0.074074,0.148148,0.240000,0.666667,0.942809,1.275035,0.222222,0.222222,6,8,6,5,8,7,6,8,6,1,S=8
0,isolated,5_2_6,off,0.000000,4.666667,4.275556,0.000000,4.000000,3.792593,0.000000,5.891869,5.748211,4.666667,2.666667,8,1,6,3,6,8,7,5,4,0,no_conv
0,isolated,5_2_6,hard,0.888889,0.222222,0.222222,0.296296,2.518519,2.518519,1.333333,4.485952,4.485952,4.666667,2.666667,8,4,6,3,5,8,7,4,4,0,no_conv
0,isolated,5_2_6,soft,0.000000,0.222222,0.293333,0.000000,3.703704,3.306667,0.000000,5.626814,5.251405,4.666667,6.222222,8,0,6,3,1,8,7,0,2,0,no_conv
0,isolated,5_2_6,delayed,0.888889,0.222222,0.222222,0.296296,2.518519,2.518519,1.333333,4.485952,4.512307,4.666667,2.666667,8,3,6,3,4,8,7,3,4,0,no_conv
0,isolated,5_2_6,noisy,0.222222,0.222222,0.088889,0.074074,1.851852,2.281481,0.666667,3.730981,4.224372,4.666667,0.666667,8,0,7,3,1,8,7,0,6,0,no_conv
0,isolated,8_8_8,off,0.000000,4.666667,4.844444,0.000000,4.000000,3.985185,0.000000,5.891869,5.883137,4.666667,2.666667,8,1,6,3,6,8,7,5,4,0,no_conv
0,isolated,8_8_8,hard,0.222222,0.000000,0.000000,0.074074,2.444444,2.103704,0.666667,4.426029,3.972558,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
0,isolated,8_8_8,soft,0.000000,0.000000,0.000000,0.000000,2.444444,2.444444,0.000000,4.426029,4.426029,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
0,isolated,8_8_8,delayed,0.222222,0.000000,0.000000,0.074074,2.444444,2.444444,0.666667,4.426029,4.426029,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
0,isolated,8_8_8,noisy,0.222222,0.000000,0.053333,0.074074,2.074074,2.400000,0.666667,3.933126,4.349136,4.666667,1.555556,8,8,6,3,8,8,7,8,5,1,S=8
