env_mode,env_init,mechanism,n_seeds,n_converged,convergence_rate,sym_var_final_mean,sym_var_final_std,sym_var_second_half_mean,sym_var_second_half_std,collective_var_final_mean,collective_var_final_std,pairwise_dist_final_mean,pairwise_dist_final_std,real_var_final_mean,imag_var_final_mean,pct_S0,pct_S8,pct_other_conv,pct_no_conv
shared,5_2_6,off,20,4,0.20,0.222222,0.172133,0.294222,0.048025,0.255556,0.168060,1.313498,0.553070,0.422222,0.122222,0.00,0.00,0.20,0.80
shared,5_2_6,hard,20,20,1.00,0.000000,0.000000,0.000000,0.000000,0.129630,0.138332,0.748252,0.610069,0.288889,0.100000,1.00,0.00,0.00,0.00
shared,5_2_6,soft,20,20,1.00,0.000000,0.000000,0.003111,0.008086,0.140741,0.144207,0.804081,0.652351,0.277778,0.144444,0.50,0.50,0.00,0.00
shared,5_2_6,delayed,20,20,1.00,0.000000,0.000000,0.000000,0.000000,0.140741,0.123728,0.826795,0.580830,0.300000,0.122222,1.00,0.00,0.00,0.00
shared,5_2_6,noisy,20,17,0.85,0.033333,0.079349,0.030667,0.028316,0.277778,0.187211,1.363784,0.500709,0.477778,0.322222,0.60,0.25,0.00,0.15
shared,8_8_8,off,20,3,0.15,0.277778,0.209349,0.272889,0.028817,0.214815,0.175135,1.145067,0.607817,0.177778,0.188889,0.00,0.00,0.15,0.85
shared,8_8_8,hard,20,20,1.00,0.000000,0.000000,0.000000,0.000000,0.125926,0.134766,0.710019,0.611936,0.277778,0.100000,0.00,1.00,0.00,0.00
shared,8_8_8,soft,20,20,1.00,0.000000,0.000000,0.000000,0.000000,0.185185,0.156259,0.954446,0.609875,0.388889,0.166667,0.00,1.00,0.00,0.00
shared,8_8_8,delayed,20,20,1.00,0.000000,0.000000,0.000000,0.000000,0.092593,0.112033,0.578580,0.561673,0.122222,0.155556,0.20,0.80,0.00,0.00
shared,8_8_8,noisy,20,15,0.75,0.055556,0.096225,0.033778,0.040501,0.203704,0.121434,1.181305,0.441215,0.377778,0.177778,0.10,0.65,0.00,0.25
isolated,5_2_6,off,20,0,0.00,4.711111,0.193729,4.143111,0.226726,3.996296,0.016144,5.889686,0.009516,4.666667,2.611111,0.00,0.00,0.00,1.00
isolated,5_2_6,hard,20,19,0.95,0.011111,0.048432,0.011111,0.048432,2.448148,0.016144,4.429025,0.013060,4.666667,2.666667,0.95,0.00,0.00,0.05
isolated,5_2_6,soft,20,12,0.60,0.133333,0.203670,0.205333,0.144397,2.707407,0.483741,4.671835,0.482057,4.622222,3.366667,0.30,0.00,0.30,0.40
isolated,5_2_6,delayed,20,4,0.20,0.177778,0.088889,0.177778,0.088889,2.503704,0.029630,4.500335,0.039762,4.666667,2.666667,0.10,0.00,0.10,0.80
isolated,5_2_6,noisy,20,16,0.80,0.044444,0.088889,0.030667,0.023090,2.537037,0.591144,4.467910,0.623559,4.822222,2.744444,0.80,0.00,0.00,0.20
isolated,8_8_8,off,20,0,0.00,4.755556,0.266667,5.171556,0.300815,3.981481,0.065734,5.875521,0.061977,4.666667,2.522222,0.00,0.00,0.00,1.00
isolated,8_8_8,hard,20,20,1.00,0.000000,0.000000,0.000000,0.000000,2.296296,0.181444,4.228868,0.241472,4.666667,2.222222,0.00,1.00,0.00,0.00
isolated,8_8_8,soft,20,20,1.00,0.000000,0.000000,0.000000,0.000000,2.444444,0.000000,4.426029,0.000000,4.666667,2.666667,0.00,1.00,0.00,0.00
isolated,8_8_8,delayed,20,20,1.00,0.000000,0.000000,0.000000,0.000000,2.444444,0.000000,4.426029,0.000000,4.666667,2.666667,0.00,1.00,0.00,0.00
isolated,8_8_8,noisy,20,18,0.90,0.022222,0.066667,0.022222,0.014194,2.348148,0.431350,4.214756,0.458544,4.622222,2.400000,0.00,0.90,0.00,0.10
