alpha,env_init,n_seeds,n_converged,convergence_rate,sym_var_final_mean,sym_var_final_std,sym_var_second_half_mean,sym_var_second_half_std,real_var_final_mean,real_var_final_std,imag_var_final_mean,imag_var_final_std,pct_S0,pct_S8,pct_other_conv,pct_no_conv
0.0,5_2_6,20,0,0.00,4.711111,0.193729,4.143111,0.226726,4.666667,0.000000,2.611111,0.242161,0.00,0.00,0.00,1.00
0.0,8_8_8,20,0,0.00,4.755556,0.266667,5.171556,0.300815,4.666667,0.000000,2.522222,0.445970,0.00,0.00,0.00,1.00
0.1,5_2_6,20,13,0.65,0.100000,0.164429,0.187111,0.207217,4.755556,0.266667,3.433333,1.690168,0.60,0.00,0.05,0.35
0.1,8_8_8,20,20,1.00,0.000000,0.000000,0.000444,0.001937,4.666667,0.000000,2.666667,0.000000,0.00,1.00,0.00,0.00
0.2,5_2_6,20,12,0.60,0.133333,0.203670,0.207556,0.212150,4.666667,0.000000,3.344444,1.890163,0.55,0.00,0.05,0.40
0.2,8_8_8,20,20,1.00,0.000000,0.000000,0.000000,0.000000,4.666667,0.000000,2.666667,0.000000,0.00,1.00,0.00,0.00
0.3,5_2_6,20,9,0.45,0.188889,0.256038,0.231556,0.187247,4.666667,0.000000,2.900000,1.627655,0.35,0.00,0.10,0.55
0.3,8_8_8,20,20,1.00,0.000000,0.000000,0.000000,0.000000,4.666667,0.000000,2.666667,0.000000,0.00,1.00,0.00,0.00
0.4,5_2_6,20,12,0.60,0.111111,0.164804,0.192000,0.135695,4.788889,0.748579,3.477778,1.604431,0.50,0.00,0.10,0.40
0.4,8_8_8,20,20,1.00,0.000000,0.000000,0.000000,0.000000,4.666667,0.000000,2.666667,0.000000,0.00,1.00,0.00,0.00
0.5,5_2_6,20,12,0.60,0.133333,0.203670,0.205333,0.144397,4.622222,0.442217,3.366667,1.426859,0.30,0.00,0.30,0.40
0.5,8_8_8,20,20,1.00,0.000000,0.000000,0.000000,0.000000,4.666667,0.000000,2.666667,0.000000,0.00,1.00,0.00,0.00
0.6,5_2_6,20,11,0.55,0.166667,0.261760,0.183556,0.138857,4.644444,0.496407,2.988889,1.216096,0.45,0.00,0.10,0.45
0.6,8_8_8,20,20,1.00,0.000000,0.000000,0.000000,0.000000,4.666667,0.000000,2.611111,0.242161,0.00,1.00,0.00,0.00
0.7,5_2_6,20,14,0.70,0.155556,0.359011,0.131111,0.201385,4.777778,0.484322,2.911111,1.658350,0.50,0.00,0.20,0.30
0.7,8_8_8,20,20,1.00,0.000000,0.000000,0.000000,0.000000,4.666667,0.000000,2.666667,0.000000,0.00,1.00,0.00,0.00
0.8,5_2_6,20,14,0.70,0.177778,0.375812,0.149778,0.145986,4.666667,0.000000,2.555556,0.864956,0.30,0.05,0.35,0.30
0.8,8_8_8,20,20,1.00,0.000000,0.000000,0.000000,0.000000,4.666667,0.000000,2.666667,0.000000,0.00,1.00,0.00,0.00
0.9,5_2_6,20,18,0.90,0.022222,0.066667,0.070222,0.123069,4.577778,0.387458,2.677778,0.679415,0.35,0.10,0.45,0.10
0.9,8_8_8,20,20,1.00,0.000000,0.000000,0.000000,0.000000,4.666667,0.000000,2.666667,0.000000,0.00,1.00,0.00,0.00
1.0,5_2_6,20,19,0.95,0.011111,0.048432,0.011111,0.048432,4.666667,0.000000,2.666667,0.000000,0.95,0.00,0.00,0.05
1.0,8_8_8,20,20,1.00,0.000000,0.000000,0.000000,0.000000,4.666667,0.000000,2.222222,0.544331,0.00,1.00,0.00,0.00
