env_init_label,env_init,seed,sym_var_init,sym_var_final,sym_var_second_half_mean,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged
5_2_6,5_2_6,0,0.888889,0.222222,0.222222,8,4,6,3,5,8,7,4,4,0
5_2_6,5_2_6,1,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,2,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,3,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,4,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,5,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,6,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,7,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,8,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,9,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,10,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,11,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,12,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,13,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,14,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,15,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,16,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,17,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,18,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
5_2_6,5_2_6,19,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,0,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,1,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,2,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,3,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,4,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,5,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,6,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,7,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,8,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,9,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,10,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,11,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,12,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,13,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,14,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,15,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,16,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,17,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,18,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_0_0,0_0_0,19,0.222222,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
8_8_8,8_8_8,0,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_8_8,8_8_8,1,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_8_8,8_8_8,2,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_8_8,8_8_8,3,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,5,1
8_8_8,8_8_8,4,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,5,1
8_8_8,8_8_8,5,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,5,1
8_8_8,8_8_8,6,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_8_8,8_8_8,7,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_8_8,8_8_8,8,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,5,1
8_8_8,8_8_8,9,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_8_8,8_8_8,10,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,5,1
8_8_8,8_8_8,11,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,5,1
8_8_8,8_8_8,12,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_8_8,8_8_8,13,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_8_8,8_8_8,14,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_8_8,8_8_8,15,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_8_8,8_8_8,16,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
