seed,env_mode,c_update,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_init,collective_var_final,collective_var_second_half_mean,pairwise_dist_init,pairwise_dist_final,pairwise_dist_second_half_mean,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged
0,shared,C_update_on,0.666667,0.000000,0.000000,0.222222,0.296296,0.130370,1.333333,1.550094,0.772023,8,0,7,7,0,7,6,0,6,1
0,shared,C_update_off,0.000000,0.222222,0.346667,0.000000,0.370370,0.328889,0.000000,1.745356,1.545668,8,3,8,6,2,8,6,3,8,0
0,isolated,C_update_on,0.888889,0.222222,0.222222,0.296296,2.518519,2.518519,1.333333,4.485952,4.485952,8,4,6,3,5,8,7,4,4,0
0,isolated,C_update_off,0.000000,4.666667,4.275556,0.000000,4.000000,3.792593,0.000000,5.891869,5.748211,8,1,6,3,6,8,7,5,4,0
1,shared,C_update_on,0.666667,0.000000,0.000000,0.296296,0.000000,0.118519,1.550094,0.000000,0.677742,5,0,8,5,0,8,5,0,8,1
1,shared,C_update_off,0.000000,0.222222,0.346667,0.074074,0.444444,0.349630,0.666667,1.954568,1.597025,7,3,6,5,2,7,5,3,6,0
1,isolated,C_update_on,0.888889,0.000000,0.000000,0.444444,2.444444,2.296296,1.895186,4.426029,4.228868,8,0,6,3,0,8,7,0,4,1
1,isolated,C_update_off,0.000000,5.555556,4.160000,0.148148,3.925926,3.386667,1.138071,5.848207,5.379743,8,1,6,3,6,8,7,6,5,0
2,shared,C_update_on,0.666667,0.000000,0.000000,0.222222,0.074074,0.157037,1.333333,0.666667,0.873254,6,0,8,5,0,8,6,0,8,1
2,shared,C_update_off,0.000000,0.222222,0.311111,0.000000,0.148148,0.349630,0.000000,0.942809,1.506253,7,6,8,6,7,8,6,7,8,0
2,isolated,C_update_on,0.888889,0.000000,0.000000,0.592593,2.444444,2.296296,1.885618,4.426029,4.228868,8,0,6,3,0,8,7,0,4,1
2,isolated,C_update_off,0.000000,4.666667,4.275556,0.296296,4.000000,3.792593,1.333333,5.891869,5.748211,8,1,6,3,6,8,7,5,4,0
3,shared,C_update_on,0.666667,0.000000,0.000000,0.296296,0.000000,0.121481,1.550094,0.000000,0.677261,7,0,8,7,0,8,7,0,8,1
