seed,env_mode,c_update,step,sym_var,collective_var,pairwise_dist,obs_R_A,obs_S_A,obs_I_A,obs_R_B,obs_S_B,obs_I_B,obs_R_C,obs_S_C,obs_I_C
0,shared,C_update_on,0,0.666667,0.222222,1.333333,5,3,6,5,2,6,5,1,6
0,shared,C_update_on,1,0.222222,0.148148,1.138071,7,1,6,7,0,6,7,0,5
0,shared,C_update_on,2,0.000000,0.074074,0.666667,8,0,5,8,0,6,8,0,6
0,shared,C_update_on,3,0.000000,0.148148,0.942809,8,0,7,7,0,8,7,0,8
0,shared,C_update_on,4,0.000000,0.370370,1.745356,8,0,8,6,0,8,6,0,7
0,shared,C_update_on,5,0.000000,0.148148,1.138071,8,0,6,7,0,7,7,0,6
0,shared,C_update_on,6,0.000000,0.148148,0.942809,7,0,7,6,0,8,6,0,8
0,shared,C_update_on,7,0.000000,0.000000,0.000000,7,0,8,7,0,8,7,0,8
0,shared,C_update_on,8,0.000000,0.000000,0.000000,8,0,8,8,0,8,8,0,8
0,shared,C_update_on,9,0.000000,0.074074,0.666667,8,0,8,7,0,8,7,0,8
0,shared,C_update_on,10,0.000000,0.296296,1.333333,7,0,8,5,0,8,5,0,8
0,shared,C_update_on,11,0.000000,0.296296,1.333333,7,0,8,5,0,8,5,0,8
0,shared,C_update_on,12,0.000000,0.000000,0.000000,5,0,7,5,0,7,5,0,7
0,shared,C_update_on,13,0.000000,0.074074,0.666667,5,0,8,5,0,8,5,0,7
0,shared,C_update_on,14,0.000000,0.074074,0.666667,6,0,6,6,0,7,6,0,6
0,shared,C_update_on,15,0.000000,0.074074,0.666667,8,0,7,8,0,7,8,0,8
0,shared,C_update_on,16,0.000000,0.074074,0.666667,8,0,7,8,0,8,8,0,7
0,shared,C_update_on,17,0.000000,0.074074,0.666667,8,0,7,8,0,8,8,0,7
0,shared,C_update_on,18,0.000000,0.148148,1.138071,8,0,6,7,0,6,7,0,5
0,shared,C_update_on,19,0.000000,0.370370,1.490712,7,0,5,5,0,6,5,0,6
