experiment,env_mode,env_init,mechanism,init_mode,n_seeds,n_converged,convergence_rate,conv_ci_lo,conv_ci_hi,sym_var_final_mean,sym_var_final_std,sv_ci_lo,sv_ci_hi,sym_var_second_half_mean,sym_var_second_half_std,n_S0,pct_S0,S0_ci_lo,S0_ci_hi,n_S8,pct_S8,S8_ci_lo,S8_ci_hi,n_other,n_no_conv,real_var_final_mean,imag_var_final_mean,statistical_test,test_stat,p_value,significant_alpha05
coupling_mechanism_control,isolated,5_2_6,delayed,,20,4,0.2000,0.0500,0.4000,0.177778,0.091198,0.133333,0.211111,0.177778,0.091198,2,0.1000,0.0000,0.2500,0,0.0000,0.0000,0.0000,2,16,4.666667,2.666667,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,isolated,5_2_6,hard,,20,19,0.9500,0.8500,1.0000,0.011111,0.049690,0.000000,0.033333,0.011111,0.049690,19,0.9500,0.8500,1.0000,0,0.0000,0.0000,0.0000,0,1,4.666667,2.666667,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,isolated,5_2_6,noisy,,20,16,0.8000,0.6000,0.9500,0.044444,0.091198,0.011111,0.088889,0.030667,0.023689,16,0.8000,0.6000,0.9500,0,0.0000,0.0000,0.0000,0,4,4.822223,2.744445,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,isolated,5_2_6,off,,20,0,0.0000,0.0000,0.0000,4.711111,0.198762,4.666667,4.800000,4.143111,0.232616,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,20,4.666667,2.611111,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,isolated,5_2_6,soft,,20,12,0.6000,0.4000,0.8000,0.133333,0.208961,0.055556,0.233333,0.205333,0.148148,6,0.3000,0.1000,0.5000,0,0.0000,0.0000,0.0000,6,8,4.622223,3.366667,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,isolated,8_8_8,delayed,,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.0000,0.0000,0.0000,20,1.0000,1.0000,1.0000,0,0,4.666667,2.666667,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,isolated,8_8_8,hard,,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.0000,0.0000,0.0000,20,1.0000,1.0000,1.0000,0,0,4.666667,2.222223,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,isolated,8_8_8,noisy,,20,18,0.9000,0.7500,1.0000,0.022222,0.068398,0.000000,0.055556,0.022222,0.014563,0,0.0000,0.0000,0.0000,18,0.9000,0.7500,1.0000,0,2,4.622223,2.400000,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,isolated,8_8_8,off,,20,0,0.0000,0.0000,0.0000,4.755556,0.273594,4.666667,4.888889,5.171555,0.308630,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,20,4.666667,2.522223,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,isolated,8_8_8,soft,,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.0000,0.0000,0.0000,20,1.0000,1.0000,1.0000,0,0,4.666667,2.666667,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,shared,5_2_6,delayed,,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1.0000,1.0000,1.0000,0,0.0000,0.0000,0.0000,0,0,0.300000,0.122222,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,shared,5_2_6,hard,,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20,1.0000,1.0000,1.0000,0,0.0000,0.0000,0.0000,0,0,0.288889,0.100000,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,shared,5_2_6,noisy,,20,17,0.8500,0.7000,1.0000,0.033333,0.081410,0.000000,0.066667,0.030667,0.029051,12,0.6000,0.4000,0.8000,5,0.2500,0.1000,0.4500,0,3,0.477778,0.322222,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,shared,5_2_6,off,,20,4,0.2000,0.0500,0.4000,0.222222,0.176604,0.155555,0.300000,0.294222,0.049272,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,4,16,0.422222,0.122222,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,shared,5_2_6,soft,,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.000000,0.000000,0.003111,0.008296,10,0.5000,0.3000,0.7000,10,0.5000,0.3000,0.7000,0,0,0.277778,0.144444,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,shared,8_8_8,delayed,,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,0.2000,0.0500,0.4000,16,0.8000,0.6000,0.9500,0,0,0.122222,0.155556,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,shared,8_8_8,hard,,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.0000,0.0000,0.0000,20,1.0000,1.0000,1.0000,0,0,0.277778,0.100000,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,shared,8_8_8,noisy,,20,15,0.7500,0.5500,0.9000,0.055556,0.098725,0.022222,0.100000,0.033778,0.041553,2,0.1000,0.0000,0.2500,13,0.6500,0.4500,0.8500,0,5,0.377778,0.177778,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,shared,8_8_8,off,,20,3,0.1500,0.0000,0.3000,0.277778,0.214788,0.188889,0.366667,0.272889,0.029566,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,3,17,0.177778,0.188889,"bootstrap_ci_only (n=20, CI overlap check)",,,
coupling_mechanism_control,shared,8_8_8,soft,,20,20,1.0000,1.0000,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.0000,0.0000,0.0000,20,1.0000,1.0000,1.0000,0,0,0.388889,0.166667,"bootstrap_ci_only (n=20, CI overlap check)",,,
delayed_initialization,isolated,5_2_6,delayed,current,100,24,0.2400,0.1600,0.3200,0.168889,0.095385,0.151111,0.186666,,,,,,,,,,,,,,,"McNemar_exact + paired_bootstrap (n=100, paired)","n_discordant=33, n10=21, n01=12",0.1628,no
delayed_initialization,isolated,5_2_6,delayed,no_update_first_step,100,15,0.1500,0.0800,0.2200,0.188889,0.079749,0.173333,0.204444,,,,,,,,,,,,,,,"McNemar_exact + paired_bootstrap (n=100, paired)",,,no
delayed_initialization,isolated,5_2_6,delayed,paired_diff_current_minus_no_update,100,,,,,-0.020000,,-0.044444,0.004444,,,,,,,,,,,,,,,"paired_bootstrap_diff (n=100, 10000 resamples, seed=42)",paired_diff=-0.020000,,no
delayed_initialization,isolated,8_8_8,delayed,current,100,100,1.0000,1.0000,1.0000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,"McNemar_exact + paired_bootstrap (n=100, paired)","n_discordant=0, n10=0, n01=0",1.0000,no
delayed_initialization,isolated,8_8_8,delayed,no_update_first_step,100,100,1.0000,1.0000,1.0000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,"McNemar_exact + paired_bootstrap (n=100, paired)",,,no
delayed_initialization,isolated,8_8_8,delayed,paired_diff_current_minus_no_update,100,,,,,0.000000,,0.000000,0.000000,,,,,,,,,,,,,,,"paired_bootstrap_diff (n=100, 10000 resamples, seed=42)",paired_diff=0.000000,,no
