seed,env_init,schedule,observer,converged,attractor,time_to_sync,sym_var_final,misID_snap,misID_half,misID_post,nll_half,brier_half,switch_rate,acf1,acf2,acf5,mis_acf1,turning_rate,period2_score,spec_peak_freq,spec_peak_share,final_S_A,final_S_B,final_S_C
0,5_2_6,sync,hard,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,0.000000,0.721088,0.202643,0.114089,0.103169,nan,0.381944,0.368056,0.226667,0.212450,1,1,0
1,5_2_6,sync,hard,1,S=0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.176871,0.732959,0.678037,0.723775,nan,0.090278,0.076389,0.020000,0.464303,0,0,0
2,5_2_6,sync,hard,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,0.000000,0.619048,0.405905,0.348039,0.382673,nan,0.319444,0.305556,0.020000,0.325098,0,1,0
3,5_2_6,sync,hard,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,0.000000,0.727891,0.321808,0.258445,0.245571,nan,0.395833,0.381944,0.126667,0.284294,1,0,0
4,5_2_6,sync,hard,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,0.000000,0.721088,0.202643,0.114089,0.103169,nan,0.381944,0.368056,0.226667,0.212450,1,1,0
5,5_2_6,sync,hard,1,other_conv,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.258503,0.767459,0.740823,0.624387,nan,0.138889,0.125000,0.020000,0.506890,4,4,4
6,5_2_6,sync,hard,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,0.000000,0.721088,0.479708,0.407131,0.380389,nan,0.375000,0.368056,0.020000,0.471684,0,1,0
7,5_2_6,sync,hard,1,S=0,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.176871,0.734537,0.681688,0.724091,nan,0.090278,0.076389,0.020000,0.503384,0,0,0
8,5_2_6,sync,hard,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,0.000000,0.727891,0.321808,0.258445,0.245571,nan,0.395833,0.381944,0.126667,0.284294,1,0,0
9,5_2_6,sync,hard,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,0.000000,0.727891,0.321808,0.258445,0.245571,nan,0.395833,0.381944,0.126667,0.284294,1,0,0
10,5_2_6,sync,hard,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,0.000000,0.727891,0.321808,0.258445,0.245571,nan,0.395833,0.381944,0.126667,0.284294,1,0,0
11,5_2_6,sync,hard,1,S=0,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.122449,0.644745,0.447163,0.629217,nan,0.048611,0.034722,0.020000,0.154551,0,0,0
12,5_2_6,sync,hard,0,no_conv,,0.222222,0.000000,0.000000,,0.000000,0.000000,0.727891,0.321808,0.258445,0.245571,nan,0.395833,0.381944,0.126667,0.284294,1,0,0
13,5_2_6,sync,hard,1,other_conv,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.204082,0.765187,0.743455,0.672172,nan,0.097222,0.083333,0.020000,0.506398,4,4,4
