seed,env_mode,env_init,mechanism,sigma,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_final,pairwise_dist_final,real_var_final,imag_var_final,converged,attractor,time_to_sync,misID_rate,misID_second_half,misID_post_sync,misID_run_mean,belief_lag,kl_belief,H_belief,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C
0,isolated,5_2_6,off,,0.000000,4.666667,4.275556,4.000000,5.891869,4.666667,2.666667,0,no_conv,,0.900000,0.800000,,37.222222,26.266667,31.084899,0.000000,8,1,6,3,6,8,7,5,4
0,isolated,5_2_6,hard,,0.888889,0.222222,0.222222,2.518519,4.485952,4.666667,2.666667,0,no_conv,,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,8,4,6,3,5,8,7,4,4
0,isolated,5_2_6,noisy,,0.222222,0.222222,0.088889,1.851852,3.730981,4.666667,0.666667,0,no_conv,,0.000000,0.000000,,0.000000,0.000000,5.302541,0.837686,8,0,7,3,1,8,7,0,6
0,isolated,5_2_6,infer,0.40,0.222222,0.000000,0.053333,3.925926,5.731805,5.555556,6.222222,1,S=0,42,0.600000,0.480000,0.375000,4.692063,13.754804,20.188322,0.772419,8,0,6,3,0,8,8,0,2
0,isolated,5_2_6,infer,0.70,0.222222,0.000000,0.533333,2.074074,3.933126,4.666667,1.555556,1,other_conv,49,0.533333,0.666667,0.666667,3.583694,13.585227,18.898564,0.171180,8,3,6,3,3,8,7,3,5
0,isolated,5_2_6,infer,1.00,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,other_conv,3,0.013333,0.000000,0.014184,0.666667,5.277778,0.948489,0.049298,8,2,6,3,2,8,7,2,4
0,isolated,8_8_8,off,,0.000000,4.666667,4.844444,4.000000,5.891869,4.666667,2.666667,0,no_conv,,0.873333,0.920000,,27.500000,33.333333,30.163865,0.000000,8,1,6,3,6,8,7,5,4
0,isolated,8_8_8,hard,,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4
0,isolated,8_8_8,noisy,,0.222222,0.000000,0.053333,2.074074,3.933126,4.666667,1.555556,1,S=8,49,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,8,6,3,8,8,7,8,5
0,isolated,8_8_8,infer,0.40,0.000000,0.000000,0.106667,3.629630,5.573124,4.666667,6.222222,1,S=8,46,0.460000,0.493333,0.583333,5.888889,6.296296,15.737894,0.691167,8,8,6,3,8,8,7,8,2
